Date,Open,High,Low,Close,Volume
2022-09-14,288.07,290.09,286.31,289.21,54907200
2022-09-15,287.29,289.7,282.79,284.39,65299400
2022-09-16,281.09,283.04,279.04,282.65,79920400
2022-09-19,280.01,285.01,279.95,284.85,52613800
2022-09-20,282.35,284.87,280.28,282.58,51271100
2022-09-21,283.42,287.69,277.39,277.52,82931000
2022-09-22,276.0,277.0,272.88,274.11,62757100
2022-09-23,271.64,271.93,266.23,269.64,74815200
2022-09-26,269.17,273.54,267.74,268.53,71176700
2022-09-27,271.9,274.24,266.32,268.64,69780100
2022-09-28,268.62,275.26,267.14,273.98,79652100
2022-09-29,269.99,270.37,263.12,266.08,81216000
2022-09-30,265.26,269.33,261.41,261.57,78482400
2022-10-03,263.34,269.3,261.83,267.71,61267400
2022-10-04,273.05,276.83,273.05,276.12,66696900
2022-10-05,272.36,277.77,269.56,275.98,55766300
2022-10-06,274.98,278.13,273.48,273.8,53489400
2022-10-07,269.16,269.29,262.04,263.37,71354700
2022-10-10,263.57,263.96,258.03,260.74,60393000
2022-10-11,259.06,261.93,255.47,257.16,66522500
2022-10-12,257.79,259.71,256.37,257.07,50580200
2022-10-13,249.73,264.42,248.85,263.1,112894100
2022-10-14,265.43,266.02,254.6,255.19,77244300
2022-10-17,261.16,264.49,261.06,263.62,64576500
2022-10-18,270.64,271.31,263.02,265.7,69781000
2022-10-19,264.18,267.85,262.36,264.73,53115400
2022-10-20,263.84,268.99,262.22,263.38,60605500
2022-10-21,262.27,270.09,261.14,269.56,77897700
2022-10-24,269.82,273.45,266.18,272.52,63963600
2022-10-25,273.46,278.54,271.98,278.16,59014500
2022-10-26,272.53,277.93,271.52,272.01,63492400
2022-10-27,270.9,272.36,266.54,267.06,57760300
2022-10-28,266.43,275.7,266.27,275.23,62651300
2022-10-31,272.98,273.8,270.11,272.03,47742000
2022-11-01,275.51,276.06,268.89,269.25,45895900
2022-11-02,269.22,272.29,259.95,260.02,79803100
2022-11-03,257.41,258.87,254.56,254.94,70038900
2022-11-04,259.88,260.93,253.56,259.04,78313200
2022-11-07,260.09,262.43,257.96,261.89,47333800
2022-11-08,263.41,267.04,259.87,263.8,63213800
2022-11-09,262.06,262.84,257.43,257.71,64862100
2022-11-10,270.13,277.02,268.02,276.73,99256700
2022-11-11,276.54,282.49,275.2,281.83,66961800
2022-11-14,279.77,283.05,278.38,279.36,55290700
2022-11-15,285.99,287.02,279.88,283.23,73985400
2022-11-16,281.27,283.32,278.54,279.36,48859800
2022-11-17,274.9,280.22,274.74,278.75,55462100
2022-11-18,281.76,281.86,276.31,278.76,53588600
2022-11-21,277.37,278.52,275.06,275.89,40083500
2022-11-22,276.62,280.02,274.49,279.86,41873400
2022-11-23,279.88,283.3,279.71,282.67,46390000
2022-11-25,281.08,281.78,280.32,280.81,15498800
2022-11-28,278.83,280.85,275.76,276.69,38714200
2022-11-29,276.92,277.32,273.23,274.6,35618900
